CutTableBySelection,Measure Names,Measure Values
CAS 2018-C01 G1,Orig Rate,4.349438307
CAS 2017-C07 G2,Orig Rate,4.381251113
CAS 2017-C07 G1,Orig Rate,4.354144761
CAS 2017-C06 G2,Orig Rate,4.195145137
CAS 2017-C06 G1,Orig Rate,4.019047761
CAS 2017-C05 G1,Orig Rate,3.736101153
CAS 2017-C04 G2,Orig Rate,3.688678975
CAS 2017-C03 G1,Orig Rate,3.795427482
CAS 2017-C02 G2,Orig Rate,3.822709458
CAS 2017-C01 G1,Orig Rate,4.002580212
CAS 2016-C07 G2,Orig Rate,4.096594460
CAS 2016-C06 G1,Orig Rate,4.186630687
CAS 2016-C05 G2,Orig Rate,4.174316103
CAS 2016-C04 G1,Orig Rate,4.195628814
CAS 2016-C03 G2,Orig Rate,4.015488467
CAS 2016-C03 G1,Orig Rate,4.004692914
CAS 2016-C02 G1,Orig Rate,3.990371191
CAS 2016-C01 G2,Orig Rate,4.221935246
CAS 2016-C01 G1,Orig Rate,4.192614691
CAS 2015-C04 G2,Orig Rate,4.420824100
CAS 2015-C04 G1,Orig Rate,4.423884440
CAS 2015-C03 G2,Orig Rate,4.506970791
CAS 2015-C03 G1,Orig Rate,4.517592638
CAS 2015-C02 G2,Orig Rate,4.591797096
CAS 2015-C02 G1,Orig Rate,4.608791305
CAS 2015-C01 G2,Orig Rate,4.545463725
CAS 2015-C01 G1,Orig Rate,4.508725387
CAS 2014-C04 G2,Orig Rate,3.927134520
CAS 2014-C04 G1,Orig Rate,3.907796590
CAS 2014-C03 G2,Orig Rate,3.702318199
CAS 2014-C03 G1,Orig Rate,3.721634278
CAS 2014-C02 G2,Orig Rate,3.541428274
CAS 2014-C02 G1,Orig Rate,3.562340440
CAS 2014-C01,Orig Rate,3.610192683
CAS 2013-C01,Orig Rate,3.821491284
CAS 2020-R02 G2,Debt to Income Ratio,37.830594576
CAS 2020-R01 G1,Debt to Income Ratio,36.372821120
CAS 2019-R07 G1,Debt to Income Ratio,37.003208887
CAS 2019-R06 G2,Debt to Income Ratio,38.618864649
